user_id,night_plays
user_61,7
user_18,6
user_37,6
user_41,5
user_5,5
user_45,4
user_54,4
user_6,4
user_62,4
user_72,4
user_84,4
user_92,4
user_94,4
user_13,3
user_19,3
user_21,3
user_24,3
user_25,3
user_31,3
user_38,3
user_39,3
user_47,3
user_50,3
user_52,3
user_53,3
user_7,3
user_70,3
user_73,3
user_83,3
user_88,3
user_9,3
user_91,3
user_93,3
user_97,3
user_1,2
user_100,2
user_15,2
user_2,2
user_20,2
user_22,2
user_23,2
user_3,2
user_34,2
user_4,2
user_40,2
user_42,2
user_46,2
user_48,2
user_51,2
user_56,2
user_58,2
user_59,2
user_60,2
user_63,2
user_64,2
user_65,2
user_66,2
user_67,2
user_74,2
user_76,2
user_80,2
user_85,2
user_87,2
user_95,2
user_98,2
user_99,2
user_10,1
user_11,1
user_12,1
user_16,1
user_17,1
user_27,1
user_28,1
user_29,1
user_30,1
user_33,1
user_36,1
user_43,1
user_44,1
user_55,1
user_57,1
user_68,1
user_75,1
user_77,1
user_79,1
user_8,1
user_82,1
user_89,1
user_96,1
